C1,C2,C3
1.07E-01,5.19E-01,3.73E-01
7.01E-02,7.64E-01,1.66E-01
4.36E-01,1.09E-01,4.54E-01
4.37E-01,3.25E-01,2.38E-01
9.04E-01,5.24E-02,4.33E-02
6.12E-01,1.39E-01,2.49E-01
1.14E-01,2.52E-01,6.34E-01
4.02E-01,5.63E-01,3.52E-02
6.54E-03,3.37E-01,6.56E-01
7.80E-01,4.55E-02,1.74E-01
4.89E-01,1.11E-01,4.00E-01
1.90E-01,2.76E-01,5.35E-01
2.06E-01,2.62E-01,5.32E-01
3.29E-01,5.40E-01,1.32E-01
8.39E-01,1.41E-01,2.01E-02
6.42E-01,3.08E-01,4.99E-02
2.08E-01,5.38E-01,2.54E-01
4.05E-02,2.04E-01,7.55E-01
7.44E-02,9.19E-01,6.88E-03
3.20E-01,2.41E-01,4.39E-01
6.19E-01,2.44E-01,1.37E-01
2.98E-01,2.91E-01,4.11E-01
2.52E-01,5.10E-02,6.97E-01
7.35E-01,2.13E-01,5.26E-02
5.39E-02,6.83E-01,2.63E-01
4.75E-01,3.62E-01,1.62E-01
2.36E-01,6.38E-01,1.26E-01
3.29E-01,2.76E-01,3.95E-01
8.90E-01,1.10E-01,2.89E-04
9.69E-02,5.14E-01,3.89E-01
3.37E-01,1.56E-01,5.07E-01
1.97E-01,3.70E-01,4.33E-01
4.59E-01,3.24E-01,2.17E-01
1.44E-02,7.12E-02,9.14E-01
9.16E-01,9.19E-03,7.47E-02
6.43E-01,3.50E-01,6.57E-03
7.10E-02,8.78E-02,8.41E-01
7.60E-01,9.40E-02,1.46E-01
9.13E-03,7.47E-02,9.16E-01
4.90E-01,5.07E-01,3.09E-03
1.41E-01,1.43E-01,7.16E-01
6.19E-03,7.31E-01,2.63E-01
3.18E-01,2.12E-01,4.70E-01
2.12E-01,5.06E-01,2.82E-01
1.18E-02,6.45E-01,3.43E-01
3.40E-01,5.96E-01,6.34E-02
7.11E-01,2.60E-01,2.85E-02
9.74E-01,2.01E-02,6.05E-03
3.48E-02,6.58E-01,3.07E-01
4.81E-01,5.04E-01,1.46E-02
